J/U : all $FF
E/SS : alternates $00 and $FF in groups of $20, also random bits set/reset


J       U       SS      E0      E1
00B02F  00B091  00B079  00B096  00B098
00B03F  00B0BF  00B0AF  00B0B2  00B0B2
  $011    $00F    $036    $01D    $01B
                
00B9EE  00BA4D  00BA5D  xxxxxx  xxxxxx
00B9FF  00BA5F  00BA5F  xxxxxx  xxxxxx
  $012    $013    $003    $000    $000
                
00C3F3  00C453  00C453  00C453  00C454
00C3FF  00C45F  00C45F  00C45F  00C45F
  $00D    $00D    $00D    $00D    $00C
                
00F995  00F9F5  00F9F5  00F9E5  00F9E5
00F9AF  00FA0F  00FA0F  00FA31  00FA31
  $01B    $01B    $01B    $04D    $04D
                
00FF30  00FF93  00FF93  00FFB5  00FFB5
00FFBF  00FFBF  00FFBF  00FFBF  00FFBF
  $090    $02D    $02D    $00B    $00B
                
01AD57  01AD54  01AD54  01AD54  xxxxxx
01AD58  01AD58  01AD58  01AD58  xxxxxx
  $002    $005    $005    $005    $000
                
xxxxxx  01CD1E  01CD1E  01CD2B  01CD32
xxxxxx  01CD29  01CD29  01CD30  01CD37
  $000    $00C    $00C    $006    $006
                
01E2BB  01E2B0  01E2B0  01E2B7  01E2BE
01E2C7  01E2C7  01E2C7  01E2C7  01E2C7
  $00D    $018    $018    $011    $00A
                
01FFC2  01FFBF  01FFBF  01FFBF  01FFBF
01FFFF  01FFFF  01FFFF  01FFFF  01FFFF
  $03E    $041    $041    $041    $041
                
02B60A  02B5EC  02B5EC  02B5EC  02B5EC
02B62F  02B62F  02B62F  02B62F  02B62F
  $026    $044    $044    $044    $044
                
02D53A  02D51E  02D51E  02D51E  02D51E
02D57F  02D57F  02D57F  02D57F  02D57F
  $046    $062    $062    $062    $062
                
02FFFB  02FFE2  02FFE2  02FFDC  02FFD0
02FFFF  02FFFF  02FFFF  02FFFF  02FFFF
  $005    $01E    $01E    $024    $030
                
03BA02  03BA02  03BA02  03BA02  03BA02
03BFFF  03BFFF  03BFFF  03BFFF  03BFFF
  $5FE    $5FE    $5FE    $5FE    $5FE
                
03D68E  03D6AC  03D6AC  03D6AC  03D6AC
03D6FF  03D6FF  03D6FF  03D6FF  03D6FF
  $072    $054    $054    $054    $054
                
03E055  03E05C  03E05C  03E05C  03E05C
03E3FF  03E3FF  03E3FF  03E3FF  03E3FF
  $3AB    $3A4    $3A4    $3A4    $3A4
                
03FDE0  03FDE0  03FDE0  03FDE0  03FDE0
03FFFF  03FFFF  03FFFF  03FFFF  03FFFF
  $220    $220    $220    $220    $220
                
04A0FA  04A1B6  04A195  04A1B6  04A1B6
04A3FF  04A3FF  04A3FF  04A3FF  04A3FF
  $306    $24A    $26B    $24A    $24A
                
04EF40  04EF3E  04EF3E  04EF3E  04EF3E
04F27F  04F27F  04F27F  04F27F  04F27F
  $340    $342    $342    $342    $342
                
04FFA9  04FFB1  04FFB1  04FFB1  04FFB1
04FFFF  04FFFF  04FFFF  04FFFF  04FFFF
  $057    $04F    $04F    $04F    $04F
                
058E19  058E19  058E19  058E19  058E3E
058FFF  058FFF  058FFF  058FFF  058FFF
  $1E7    $1E7    $1E7    $1E7    $1C2
                
05A561  05A561  05A561  05A561  05A561
05A57F  05A57F  05A57F  05A57F  05A57F
  $01F    $01F    $01F    $01F    $01F
                
05B676  05BBA6  05BB7C  05BBA6  05BBB6
